flat_id,room_cnt,address,metro,price,region,Парковка,Тип дома,Вид из окон,Тип перекрытий,Жилая площадь,Год постройки,Балкон/лоджия,Отопление,Общая площадь,Подъезды,Санузел,Высота потолков,Тип жилья,Ремонт,Строительная серия,Аварийность,Мусоропровод,Количество лифтов,Площадь кухни,Газоснабжение,Отделка
278745770,5,"Москва,САО,р-н Ховрино,Петрозаводская ул.,15К3","Беломорская,Речной вокзал,Ховрино",16000000,1,,Панельный,На улицу и двор,Железобетонные,66,1968,1 балкон,Центральное,86,4,1 раздельный,"2,64 м",Вторичка,Косметический,II-49,Нет,Да,1 пассажирский,6,Центральное,
285756068,3,"Московская область,Щелково городской округ,Клюквенный поселок,18к1",,6520856,1,,Монолитно-кирпичный,,,,,,,"82,5",,,3 м,Новостройка,,,,,,,,
284931518,1,"Москва,ЦАО,р-н Басманный,Большая Почтовая ул.,6","Бауманская,Лефортово,Электрозаводская",9700000,1,Открытая,Блочный,Во двор,Железобетонные,"17,4",1968,,Центральное,"29,4",1,1 совмещенный,"2,5 м",Вторичка,Косметический,II-18,Нет,Да,1 пассажирский,6,,
287996186,1,"Москва,ЗАО,р-н Дорогомилово,Бадаевский жилой комплекс","Киевская,Выставочная,Деловой центр",52452400,1,Подземная,Монолитный,,,,,,,"52,4",,,,Новостройка,,,,,1 пассажирский,,,Без отделки
284011723,3,"Московская область,Раменское,р-н Западный,мкр. Холодово,ул. Космонавтов,19",,5800000,1,Наземная,Кирпичный,Во двор,Железобетонные,"42,1",1968,1 балкон,Центральное,"58,8",4,1 раздельный,"2,55 м",Вторичка,Косметический,,Нет,,,"5,8",Центральное,
289293359,1,"Московская область,Раменское,р-н Центральный,мкр. Заводской,ул. Коминтерна,7",,3800000,1,,Кирпичный,Во двор,Железобетонные,"11,2",1982,,Центральное,"20,3",2,1 совмещенный,"2,6 м",Вторичка,Косметический,,Нет,,,5,Центральное,
278927103,5,"Москва,ЦАО,р-н Хамовники,ул. Ефремова,19к2","Спортивная,Спортивная",662981900,1,,Монолитный,Во двор,Железобетонные,,2015,,Индивидуальный тепловой пункт,366,3,,"3,2 м",Вторичка,Без ремонта,Индивидуальный проект,Нет,,,,,
290015686,2,"Московская область,Балашиха,мкр. Янтарный,ул. Кольцевая,8","Щёлковская,Первомайская,Измайловская",11800000,1,Открытая,Панельный,На улицу и двор,Железобетонные,"33,2",2010,2 лоджии,Центральное,"59,1",6,1 совмещенный,"2,65 м",Вторичка,Евроремонт,П-44,Нет,Да,"2 пассажирских, 1 грузовой","12,9",,
289010344,6,"Москва,ЮАО,р-н Даниловский,просп. Лихачева,10к3","Технопарк,ЗИЛ,Автозаводская",100000000,1,Подземная,Монолитный,,Железобетонные,,2022,,Центральное,184,2,"2 совмещенных, 2 раздельных",3 м,Вторичка,Дизайнерский,Индивидуальный проект,Нет,,"2 пассажирских, 1 грузовой",45,,
289068575,5,"Московская область,Мытищи городской округ,Туристический Пансионат Клязьминское водохранилище поселок,ш. Сорокинское,9",Медведково,18297000,4593,,,Во двор,Нет информации,"90,1",,3 лоджии,Нет информации,"158,2",,2 раздельных,,Вторичка,Евроремонт,,Нет,,2 пассажирских,"30,3",,
